IdExpediente,Hora,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_Y,CoordenadaUTM_X
2012S008554,11,No es causa del peatón,Motocicleta,SUPER DINK 125,KYMCO,Negre,B,4,4584040.14,431984.8
2012S008110,11,No es causa del peatón,Motocicleta,Dylan 125,HONDA,Gris,A1,1,4581620.14,429077.53
2012S008111,17,No es causa del peatón,Turismo,ASTRA,OPEL,Blanc,B,30,4585285.75,432752.43
2012S008576,0,No es causa del peatón,Turismo,AVEO,CHEVROLET,Blanc,B,6,4581707.97,430541.49
2012S008580,9,Cruzar fuera de paso peatonal,Motocicleta,R 1200 C,BMW,Groc,A,23,4584123.47,430462.77
2012S008704,13,Desobedecer Semáforo,Turismo,ZAFIRA,OPEL,Gris,B,39,4581889.07,431432.45
2012S008706,16,No es causa del peatón,Motocicleta,SR 250 SP,YAMAHA,Blau,A,17,4582351.74,429418.45
2012S008708,16,No es causa del peatón,Motocicleta,XP500,YAMAHA,Gris,A,28,4583382.49,429895.61
2012S008679,9,No es causa del peatón,Turismo,FIESTA,FORD,Gris,B,3,4581956.65,428977.85
2012S008715,8,No es causa del peatón,Motocicleta,PES,HONDA,Gris,A1,16,4583938.61,427099.17
2012S008561,13,No es causa del peatón,Turismo,QASHQAI,NISSAN,Negre,B,2,4588121.66,433905.55
2012S008564,16,No es causa del peatón,Turismo,ASTRA,OPEL,Negre,B,34,4580682.63,427184.26
2012S008685,10,No es causa del peatón,Motocicleta,LIBERTY 125,PIAGGIO,Blanc,B,6,4583985.32,427183.29
2012S008690,13,Otras,AutobŁs,NG 313,MAN,Vermell,E D,16,4587994.1,431283.49
2012S008692,14,No es causa del peatón,Turismo,CLIO,RENAULT,Blau,B,6,4579627.85,429605.04
2012S008719,11,No es causa del peatón,Turismo,414,ROVER,Verd,B,22,4587290.44,429833.95
2012S008720,11,No es causa del peatón,Turismo,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,4583347.57,429267.61
2012S008721,11,No es causa del peatón,Turismo,ONE,MINI,Negre,B,26,4583986.71,427904.47
2012S008847,20,No es causa del peatón,Turismo,CORSA,OPEL,Negre,B,21,4581433.58,427304.28
2012S008852,23,No es causa del peatón,Ciclomotor,LUDIX,PEUGEOT,Vermell,AM,7,4583231.89,427549.57
2012S008982,15,No es causa del peatón,Ciclomotor,VESPA,PIAGGIO,Blau,B,6,4585084.16,431432.78
2012S008144,19,No es causa del peatón,Turismo,MEGANE,RENAULT,Negre,B,20,4585669.81,433794.8
