IdExpediente,Hora,Turno,Causa_de_Accidente,CoordenadaUTM_Y,CoordenadaUTM_X
2013S008014,8,Matutino,No hay causa mediata,4583797.6,431224.71
2013S009148,11,Matutino,No hay causa mediata,4584572.38,431303.21
2013S004440,20,Tarde,No hay causa mediata,4584545.26,431121.71
2013S008549,13,Matutino,No hay causa mediata,4584769.89,431277.92
2013S008554,14,Tarde,No hay causa mediata,4584770.28,431232.44
2013S002748,10,Matutino,No hay causa mediata,4580883.36,429051.25
2013S004668,17,Tarde,No hay causa mediata,4580908.62,428940.68
2013S003928,23,Noche,Alcoholemia,4580908.62,428940.68
2013S004361,11,Matutino,No hay causa mediata,4580594.36,430160.67
2013S002194,10,Matutino,No hay causa mediata,4579933.83,429480.23
2013S006619,18,Tarde,No hay causa mediata,4579719.91,429054.78
2013S005853,11,Matutino,No hay causa mediata,4580268.71,430228.46
2013S004194,19,Tarde,No hay causa mediata,4580797.04,428828.7
2013S007200,22,Noche,No hay causa mediata,4579915.12,430788.13
2013S001040,8,Matutino,No hay causa mediata,4579432.98,430515.24
2013S006186,19,Tarde,No hay causa mediata,4579036.34,430077.91
2013S005443,19,Tarde,No hay causa mediata,4580073.74,430551.77
2013S006147,13,Matutino,No hay causa mediata,4577128.01,428403.94
2013S008150,8,Matutino,No hay causa mediata,4578526.33,428998.52
2013S005962,23,Noche,No hay causa mediata,4579627.85,429605.04
2013S005578,8,Matutino,Calle en mal estado,4580046.8,428561.14
2013S004870,21,Tarde,No hay causa mediata,4580590.08,429926.35
2013S007023,10,Matutino,No hay causa mediata,4580864.39,430254.51
2013S003695,13,Matutino,No hay causa mediata,4580730.27,430434.28
2013S008981,7,Matutino,No hay causa mediata,4580909.41,430458.7
2013S008789,22,Noche,No hay causa mediata,4580858.37,431119.88
2013S005822,17,Tarde,No hay causa mediata,4580858.37,431119.88
2013S005731,12,Matutino,No hay causa mediata,4580863.96,431060.57
2013S002716,0,Noche,No hay causa mediata,4580605.89,431059.78
2013S008716,21,Tarde,No hay causa mediata,4580605.89,431059.78
2013S000149,11,Matutino,No hay causa mediata,4580589.28,430629.12
2013S007836,3,Noche,No hay causa mediata,4580638.75,430892.9
2013S000499,10,Matutino,No hay causa mediata,4580740.59,431140.98
2013S007985,13,Matutino,No hay causa mediata,4580913.98,429988.63
2013S000023,10,Matutino,Exceso de velocidad o inadecuada,4576883.61,426129.23
2013S006941,13,Matutino,No hay causa mediata,4577849.79,428586.92
2013S005365,10,Matutino,No hay causa mediata,4576488.06,428208.69
2013S003645,14,Tarde,No hay causa mediata,4575745.38,425927.45
2013S003881,19,Tarde,No hay causa mediata,4576151.63,427539.42
2013S006769,13,Matutino,No hay causa mediata,4579706.06,430724.34
2013S000156,15,Tarde,No hay causa mediata,4578564.33,428320.35
2013S006559,9,Matutino,No hay causa mediata,4578271.71,428517.55
2013S005460,15,Tarde,No hay causa mediata,4578466.1,429059.19
2013S000032,20,Tarde,No hay causa mediata,4578194.93,428687.22
2013S002222,12,Matutino,No hay causa mediata,4578664.36,427834.44
2013S005231,7,Matutino,No hay causa mediata,4578550.94,427625.96
2013S002455,21,Tarde,No hay causa mediata,4579094.48,427687.39
2013S007320,10,Matutino,No hay causa mediata,4579099.98,428428.61
2013S005658,16,Tarde,No hay causa mediata,4579192.29,428365.73
2013S003580,3,Noche,Alcoholemia,4579193.18,427992.87
2013S004949,8,Matutino,No hay causa mediata,4580551.58,431137.98
2013S008204,16,Tarde,No hay causa mediata,4578250.53,428987.7
2013S008282,21,Tarde,No hay causa mediata,4578112.98,428721.64
2013S000606,10,Matutino,No hay causa mediata,4578112.98,428721.64
2013S001789,19,Tarde,No hay causa mediata,4579358.49,430450.5
2013S002643,16,Tarde,No hay causa mediata,4577361.6,427200.43
2013S001754,12,Matutino,No hay causa mediata,4576035.36,426304.27
2013S008346,19,Tarde,No hay causa mediata,4577021.82,426686.36
2013S007867,2,Noche,No hay causa mediata,4576188.38,426216.94
2013S003677,19,Tarde,No hay causa mediata,4577554.48,427661.78
2013S003963,21,Tarde,Alcoholemia,4577512.76,427570.9
2013S000371,9,Matutino,No hay causa mediata,4580520.1,428545.83
2013S000215,14,Tarde,No hay causa mediata,4580994.91,428707.22
2013S009047,20,Tarde,No hay causa mediata,4580979.25,428600.86
2013S000005,3,Noche,No hay causa mediata,4580983.47,428873.64
2013S001992,13,Matutino,No hay causa mediata,4580904.82,428633.36
2013S009234,10,Matutino,No hay causa mediata,4581264,428653.5
2013S002868,0,Noche,Exceso de velocidad o inadecuada,4581256.12,428685.59
2013S007153,8,Matutino,No hay causa mediata,4580952.74,428698.5
2013S007616,21,Tarde,No hay causa mediata,4581211.38,428598.71
2013S008129,16,Tarde,No hay causa mediata,4580861.21,428820.36
2013S000518,18,Tarde,No hay causa mediata,4580427.15,428450.86
2013S003348,20,Tarde,No hay causa mediata,4579963.45,427978.22
2013S000396,7,Matutino,No hay causa mediata,4579996.46,428011.64
2013S002141,12,Matutino,No hay causa mediata,4580028.12,428042.8
2013S005832,9,Matutino,No hay causa mediata,4580047.38,428062.52
2013S005694,8,Matutino,No hay causa mediata,4580116.62,428133.39
2013S005814,21,Tarde,No hay causa mediata,4579692.41,427900.01
2013S007111,14,Tarde,No hay causa mediata,4580231.02,428445.76
2013S006375,1,Noche,No hay causa mediata,4579491.03,428311.6
2013S006398,23,Noche,No hay causa mediata,4580282.67,428395.59
2013S009223,5,Noche,Alcoholemia,4579833.03,428072.46
2013S005462,16,Tarde,No hay causa mediata,4580352.66,428733.9
2013S005039,8,Matutino,No hay causa mediata,4580357.68,428707.18
2013S007333,19,Tarde,No hay causa mediata,4580284.26,428596.51
2013S006211,10,Matutino,No hay causa mediata,4580214.82,428234.41
2013S005098,18,Tarde,No hay causa mediata,4579046.22,428472.03
2013S005856,12,Matutino,No hay causa mediata,4580811.72,427105.82
2013S005555,13,Matutino,No hay causa mediata,4580778.01,426908.28
2013S004721,1,Noche,No hay causa mediata,4581481.73,427692.82
2013S004745,14,Tarde,No hay causa mediata,4581616.03,427646.19
2013S007447,18,Tarde,No hay causa mediata,4581616.03,427646.19
2013S004113,19,Tarde,No hay causa mediata,4581382.65,427634.05
2013S005343,11,Matutino,No hay causa mediata,4581170.96,427304.04
2013S006633,16,Tarde,Alcoholemia,4581282.49,427285.61
2013S002369,18,Tarde,Calle en mal estado,4581402.56,427242.98
2013S003984,23,Noche,No hay causa mediata,4581414.09,427289.37
2013S006926,21,Tarde,No hay causa mediata,4581008.71,427782.42
2013S006268,23,Noche,No hay causa mediata,4581026.4,426730.94
2013S007455,14,Tarde,No hay causa mediata,4581157.07,426921.16
2013S002796,17,Tarde,No hay causa mediata,4580682.63,427184.26
2013S005732,13,Matutino,No hay causa mediata,4580682.63,427184.26
2013S008609,21,Tarde,No hay causa mediata,4580468.5,428418.83
2013S000839,20,Tarde,No hay causa mediata,4580509.9,428461.08
2013S005666,20,Tarde,No hay causa mediata,4580448.48,428398.39
2013S001276,14,Tarde,No hay causa mediata,4580672.39,428364.3
2013S001970,11,Matutino,No hay causa mediata,4580626.05,428083.95
2013S006809,16,Tarde,No hay causa mediata,4579885.27,427608.98
2013S004547,14,Tarde,No hay causa mediata,4579751.39,427647.5
2013S001483,10,Matutino,No hay causa mediata,4580479.49,427551.09
2013S009052,7,Matutino,Alcoholemia,4580405.01,428027.87
2013S003367,19,Tarde,No hay causa mediata,4580353.31,427754.09
2013S002854,16,Tarde,No hay causa mediata,4579988.29,427742.4
2013S006627,13,Matutino,No hay causa mediata,4580080.77,428023.02
2013S000423,23,Noche,No hay causa mediata,4580080.77,428023.02
